Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [สุเมธค้าข้าว สาขาวัดดอนกระถิน],Price [สุเมธค้าข้าว สาขาวัดดอนกระถิน],In stock [สุเมธค้าข้าว สาขาวัดดอนกระถิน],Low stock [สุเมธค้าข้าว สาขาวัดดอนกระถิน]
กวาง(ใหญ่),10225,กวาง(ใหญ่),,,N,,,,,,,0.00,ก40,,,N,Y,860.00,,
กวาง15กก,10679,กวาง15กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
กวาง15กกเหลือง,10695,กวาง15กกเหลือง,,,N,,,,,,,0.00,,,,N,Y,310.00,,
กวาง45กก,10570,กวาง40กก(ส่ง),,,N,,,,,,,0.00,,,,N,Y,variable,,
กวาง5กก,10777,กวาง5กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
กะปิ(เคย),10691,กะปิ(เคย),,,N,,,,,,,0.00,,,,N,Y,variable,,
กันยุงช้าง,10476,กันยุงช้าง,,,N,,,,,,,870.00,,,,N,Y,925.00,,
กันยุงช้าง(แพค),10519,กันยุงช้าง(แพค),,,N,,,,,,,0.00,,,,N,Y,85.00,,
กันยุงเรนเจอร์,10159,กันยุงเรนเจอร์,เครื่องครัว / ในบ้าน,,N,,,,,,,0.00,รจ,,,N,Y,1175.00,,
กาแฟโกลล์ดำ,10779,กาแฟโกลล์ดำ,,,N,,,,,,,0.00,,,,N,Y,75.00,,
กินดี10กก,11027,กินดี10กก,,,N,,,,,,,0.00,,,,N,Y,280.00,,
อ.เชอรี่20กก,10102,กินดี20กก,,,N,,,,,,,0.00,,,,N,Y,580.00,,
กุลาบ5กก,10755,กุลาบ5กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
กุหลาบ15กก,10697,กุหลาบ14กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
กุหลาบ15กก-1,10855,กุหลาบ14กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
กุหลาบ1กก,10711,กุหลาบ1กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
กุหลาบ40กก,10770,กุหลาบ40กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
กุหลาบ5กก,10696,กุหลาบ5กก,,,N,,,,,,,0.00,,,,N,Y,108.00,,
กุหลาบ5กก-1,10866,กุหลาบ5กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
กุหลาบ5กก(มัด),10825,กุหลาบ5กก(มัด),,,N,,,,,,,0.00,,,,N,Y,580.00,,
ขนม,10576,ขนม,,,N,,,,,,,0.00,,,,N,Y,50.00,,
ขนม(ลัง),10596,ขนม(ลัง),,,N,,,,,,,0.00,,,,N,Y,560.00,,
ข้าวฟ่าง(ถุง),10983,ข้าวฟ่าง(ถุง),,,N,,,,,,,0.00,,,,N,Y,variable,,
ข้าวฟ่างโล(สอบ),10704,ข้าวฟ่างโล(สอบ),,,N,,,,,,,0.00,,,,N,Y,960.00,,
ข้าวหมา(โล),10808,ข้าวหมา(โล),,,N,,,,,,,0.00,,,,N,Y,20.00,,
ข้าวหมา5กก,10951,ข้าวหมา5กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ข้าวหอมตราคุณสวย,10423,ข้าวหอมตราคุณสวย,,,N,,,,,,,0.00,,,,N,Y,780.00,,
ข้าวหอมเล็ก,10031,ข้าวหอมเล็ก,เครื่องดื่ม,,N,,,,,,,0.00,หล,,,N,Y,660.00,,
ข้าวหอมใหญ่,10032,ข้าวหอมใหญ่,เครื่องดื่ม,,N,,,,,,,0.00,หญ,,,Y,Y,1130.00,-36.000,0.000
ข้าวเปลือก(โล),10807,ข้าวเปลือก(โล),,,N,,,,,,,0.00,,,,N,Y,20.00,,
ข้าวแข็ง15กก,10733,ข้าวแข็ง14กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ข้าวไรซ์,10781,ข้าวไรซ์,,,N,,,,,,,0.00,,,,N,Y,variable,,
กข43-1,10782,ข้าวไรซ์(โล),,,N,,,,,,,0.00,,,,N,Y,70.00,,
ขุนทอง-แพค,10471,ขุนทอง แพค,,,N,,,,,,,0.00,,,,N,Y,variable,,
ขุนทอง-โล,10378,ขุนทอง โล,,,N,,,,,,,0.00,,,,N,Y,50.00,,
ขุนทอง(สอบ),10609,ขุนทอง(สอบ),,,N,,,,,,,0.00,,,,N,Y,780.00,,
ขุนทองโลสอบ,10804,ขุนทองโลสอบ,อาหารสัตว์,,N,,,,,,,0.00,,,,N,Y,920.00,,
ขุนศึก-(15m),10069,ขุนศึก (15M),กระสอบถัง,,N,,,,,,,0.00,ขศ15,,,N,Y,variable,,
ขุนศึก-(5m),10163,ขุนศึก (5M)มัด,ยกมัด(5M),,N,,,,,,,0.00,ขศ5,,,N,Y,1930.00,,
ขุนศึกปลีก(5m),10244,ขุนศึก(5M),ปลีก(1/5M),,N,,,,,,,0.00,ขศป5,,,N,Y,variable,,
ขุนศึก(โล),10254,ขุนศึก(โล),ยกมัด(1M),,N,,,,,,,0.00,ขศล,,,N,Y,390.00,,
ขุนศึก15กก-1,10922,ขุนศึก15กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ขุนศึก15กก.(ปลีก),10486,ขุนศึก15กก.(ปลีก),,,N,,,,,,,0.00,,,,N,Y,variable,,
ขุนศึก15กก,10810,ขุนศึก15กกชส้ม,,,N,,,,,,,0.00,,,,N,Y,570.00,,
ขุนศึก-(40m),10002,ขุนศึก40กก,,,N,,,,,,,1210.00,ขศ,,,N,Y,1430.00,,
ขุนศึก40กก(ถุงส้ม),11011,ขุนศึก40กก(ถุงส้ม),,,N,,,,,,,0.00,,,,N,Y,variable,,
ขุนศึก5กก,10845,ขุนศึก5กก,,,N,,,,,,,0.00,,,,N,Y,193.00,,
ขุนศึก5กก(ใหม่)ช.แดง,10725,ขุนศึก5กก(ชส้ม),,,N,,,,,,,0.00,ขศ,,,N,Y,190.00,,
ขุนศึก5กก-1,10918,ขุนศึก5กกส้ม,,,N,,,,,,,0.00,,,,N,Y,1930.00,,
ขุนศึกชมพู40กก-1,10637,ขุนศึกชมพู40กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ขุนศึกชมพู40กก,10426,ขุนศึกชมพู40กก(ส่ง),,,N,,,,,,,0.00,,,,N,Y,variable,,
ขุนศึกปทุม14กก,10991,ขุนศึกปทุม14กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ขุนศึกปทุม5กก,10992,ขุนศึกปทุม5กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ขุนศึกปทุมส้ม5กก,11003,ขุนศึกปทุมส้ม5กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ขุนศึกฟ้า15กก,10612,ขุนศึกฟ้า15กก,,,N,,,,,,,0.00,ขศฟ,,,N,Y,variable,,
ขุนศึกฟ้า40กก,10613,ขุนศึกฟ้า40กก,,,N,,,,,,,0.00,ขศฟ,,,N,Y,980.00,,
ขุนศึกส้ม40กก,10997,ขุนศึกส้ม40กก(ปทุม),,,N,,,,,,,0.00,,,,N,Y,940.00,,
ขุนศึกเขียว(15m),10316,ขุนศึกเขียว(14กก),กระสอบถัง,,N,,,,,,,0.00,ขศ15,,,N,Y,320.00,,
ขุนศึกเขียว(40m),10315,ขุนศึกเขียว(40M),,,N,,,,,,,0.00,ขศข40,,,N,Y,variable,,
ขุนศึกเขียว(5),10317,ขุนศึกเขียว(5),ยกมัด(1M),,N,,,,,,,0.00,ขศข5,,,N,Y,1200.00,,
ขุนศึกเขียว14กก,10960,ขุนศึกเขียว14กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ขุนศึกเขียว5กก,10376,ขุนศึกเขียว5กก,,,N,,,,,,,0.00,,,,N,Y,120.00,,
ขุนศึกเขียว5กก(ถุง),10566,ขุนศึกเขียว5กก(ถุง),ยกมัด(5M),,N,,,,,,,0.00,,,,N,Y,variable,,
ขุนศึกเหลือง15กก-1,10665,ขุนศึกเหลือง15กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ขุนศึกเหลือง1กก,10501,ขุนศึกเหลือง1กก,,,N,,,,,,,0.00,,,,N,Y,220.00,,
ขุนศึกเหลือง5กก,10502,ขุนศึกเหลือง5กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ขุนศึกเหลือง15กก,10500,ขุนศึกเหลืองอ่อน14กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ขุนศึกเหลืองอ่อน40กก,10684,ขุนศึกเหลืองอ่อน40กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ขุนศึกแดงใหม่(5กก.),10580,ขุนศึกแดง(5กก.),,,N,,,,,,,0.00,,,,N,Y,variable,,
ขุนศึกแดง15กก,10404,ขุนศึกแดง15กก,,,N,,,,,,,0.00,,,,N,Y,550.00,,
ขุนศึกแดง40กก,11007,ขุนศึกแดง40กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ขุนศึกแดง(ใหม่)5กก.,10624,ขุนศึกแดง5กก.,,,N,,,,,,,0.00,,,,N,Y,variable,,
ขุนศึกโล(ถุง),10590,ขุนศึกโล(ถุง),,,N,,,,,,,0.00,,,,N,Y,40.00,,
คนสวย,10010,คนสวย (14M),กระสอบถัง,,N,,,,,,,365.00,คส15,,,N,Y,variable,,
คนสวยปลีก(15m),10314,คนสวย (15M)ปลีก,กระสอบถัง,,N,,,,,,,0.00,คสป15,,,N,Y,300.00,,
คนสวย-(40m),10011,คนสวย (ใหญ่),,,N,,,,,,,720.00,คส40,,,N,Y,variable,,
คนสวย(5m),10207,คนสวย(5M),ยกมัด(5M),,N,,,,,,,0.00,คส5,,,N,Y,variable,,
คนสวยปลีก(5m),10249,คนสวย(5M)ถุง,ปลีก(1/5M),,N,,,,,,,0.00,คสป5,,,N,Y,variable,,
ครัวเซฟ,10986,ครัวเซฟ,,,N,,,,,,,0.00,,,,N,Y,820.00,,
ควันน้อย(ลัง),10582,ควันน้อย(ลัง),,,N,,,,,,,0.00,,,,N,Y,1170.00,,
ควันน้อย(แพค),10466,ควันน้อย(แพค),,,N,,,,,,,0.00,,,,N,Y,100.00,,
คอฟ200กรัม(ลัง),10539,คอฟ200กรัม(ลัง),,,N,,,,,,,0.00,,,,N,Y,1650.00,,
คอมแบ,10417,คอมแบ,,,N,,,,,,,0.00,,,,N,Y,840.00,,
ค่ารถ,10308,ค่ารถ,ค่ารถ,,N,,,,,,,0.00,,,,N,Y,variable,,
คาราบาว,10025,คาราบาว,เครื่องดื่ม,,N,,,,,,,0.00,คบ,,,N,Y,425.00,,
คาราบาว-2,10859,คาราบาว,,,N,,,,,,,0.00,,,,N,Y,variable,,
คาราบาว-1,10303,คาราบาวแพค,เครื่องดื่ม,,N,,,,,,,0.00,,,,N,Y,90.00,,
คาเมลฟ้า,10333,คาเมลฟ้า,บุหรี่ / ยาเส้น / ใบจาก,,N,,,,,,,0.00,,,,N,Y,670.00,,
คาเมล,10054,คาเมลเหลือง,บุหรี่ / ยาเส้น / ใบจาก,,N,,,,,,,0.00,คม,,,N,Y,670.00,,
คุณประหยัด(15m),10349,คุณประหยัด(15M),กระสอบถัง,,N,,,,,,,0.00,คปย15,,,N,Y,260.00,,
คุณสวย15กก,10586,คุณสวย15กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
คุณสวย40กก.(ปลีก),10585,คุณสวย40กก.,,,N,,,,,,,0.00,,,,N,Y,variable,,
คุณสวยโล,10943,คุณสวยโล,,,N,,,,,,,0.00,,,,N,Y,220.00,,
โอซุส,10237,คุดุต,เครื่องดื่ม,,N,,,,,,,0.00,อซ,,,N,Y,400.00,,
คุนสวย15กก,10629,คุนสวย14กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
คนสวยเขียว,10219,คุนสวยเขียว,กระสอบถัง,,N,,,,,,,0.00,คสข15,,,N,Y,280.00,,
จุกแชมป์(10ถุง),10280,จุกแชมป์(10ถุง),อาหารสัตว์,,N,,,,,,,0.00,จช,,,N,Y,190.00,,
ฉัตรทอง(เก่า),10103,ฉัตรทอง(ใหม่),,,N,,,,,,,0.00,,,,N,Y,variable,,
ฉัตรทอง5กก,10558,ฉัตรทอง5กก,,,N,,,,,,,0.00,,,,N,Y,220.00,,
ฉัตรทอง5กก-1,10578,ฉัตรทอง5กก,,,N,,,,,,,0.00,,,,N,Y,1260.00,,
ฉัตรม่วง-(15m),10184,ฉัตรม่วง (15M),กระสอบถัง,,N,,,,,,,0.00,ฉม15,,,N,Y,570.00,,
ฉัตรม่วง-(5m),10175,ฉัตรม่วง (5M),ยกมัด(5M),,N,,,,,,,0.00,ฉม5,,,N,Y,1160.00,,
ฉัตรม่วง(โล),10255,ฉัตรม่วง(โล),ยกมัด(1M),,N,,,,,,,380.00,ฉมล,,,N,Y,390.00,,
ฉัตรม่วง15กก,10929,ฉัตรม่วง15กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ฉัตรม่วง40กก.,10751,ฉัตรม่วง40กก.,,,N,,,,,,,0.00,,,,N,Y,1400.00,,
ฉัตรม่วง5กก,10923,ฉัตรม่วง5กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ฉัตรม่วง5กก(ถุง),10694,ฉัตรม่วง5กก(ถุง),,,N,,,,,,,0.00,,,,N,Y,198.00,,
ฉัตรม่วงโล,10973,ฉัตรม่วงโล,,,N,,,,,,,0.00,,,,N,Y,variable,,
ฉัตรเพชร15กก,10738,ฉัตรเพชร15กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ฉัตรเพชร5กก,10736,ฉัตรเพชร5กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ฉัตรเพชร(1กก.),10786,ฉัตรเพชร5กก,,,N,,,,,,,0.00,,,,N,Y,920.00,,
ฉัตรเพชร-(15m),10183,ฉัตรโกลล์ (15M),กระสอบถัง,,N,,,,,,,0.00,ฉพ15,,,N,Y,480.00,,
ฉัตรเพชร-(5m),10174,ฉัตรโกลล์(5M),ยกมัด(5M),,N,,,,,,,0.00,ฉพ5,,,N,Y,960.00,,
ฉัตรเงิน5กก,10382,ฉัตรโกลล์5กก,,,N,,,,,,,0.00,,,,N,Y,165.00,,
ฉัตรไลทผ์,10928,ฉัตรไลท์5กก,,,N,,,,,,,0.00,,,,N,Y,200.00,,
ชากังราว(15m),10326,ชากังราว(14m)เขียว,กระสอบถัง,,N,,,,,,,0.00,ชกร15,,,N,Y,270.00,,
ชากับราว(40m),10328,ชากังราว(40M)เขียว,ใหญ่40M,,N,,,,,,,0.00,ชกร40,,,N,Y,780.00,,
ชากังราว14กก,10900,ชากังราว14กกทอง,,,N,,,,,,,0.00,,,,N,Y,275.00,,
ชากังราว40กก,10999,ชากังราว40กกทอง,,,N,,,,,,,0.00,,,,N,Y,760.00,,
ชากังราว5กก-1,10901,ชากังราว5กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ชากังราว5กก,10641,ชากังราว5กกเขียว,,,N,,,,,,,0.00,,,,N,Y,620.00,,
ช้าง48กก,10353,ช้าง40กก(ส่ง),,,N,,,,,,,0.00,,,,N,Y,variable,,
ช้าง5กก,10575,ช้าง5กก,,,N,,,,,,,0.00,,,,N,Y,122.00,,
ช้างขวด,10005,ช้างขวด,เครื่องดื่ม,,N,,,,,,,0.00,ชข,,,N,Y,630.00,,
ช้างคู่-(15m),10016,ช้างคู่ (14กก),กระสอบถัง,,N,,,,,,,0.00,ชค15,,,N,Y,330.00,,
ช้างคู่-(45m),10079,ช้างคู่ (40กก),,,N,,,,,,,0.00,ชค45,,,N,Y,900.00,,
ช้างคู่-(5m),10161,ช้างคู่ (5M),ยกมัด(5M),,N,,,,,,,0.00,ชค5,,,N,Y,variable,,
ช้างคู่ปลีก(5m),10245,ช้างคู่(5M),ปลีก(1/5M),,N,,,,,,,0.00,ชคป5,,,N,Y,1210.00,,
ช้างคู่15กก..,10262,ช้างคู่14กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ช้างคู่15กก,10604,ช้างคู่14กก,,,N,,,,,,,0.00,ชค,,,N,Y,variable,,
ช้างคู่5กก,10567,ช้างคู่5กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ช้างยาว,10007,ช้างยาว,เครื่องดื่ม,,N,,,,,,,0.00,ชย,,,N,Y,670.00,,
ช้างลัง(ปลีก),10568,ช้างลัง,,,N,,,,,,,0.00,,,,N,Y,620.00,,
ช้างลัง,10744,ช้างลัง,,,N,,,,,,,0.00,,,,N,Y,variable,,
ช้างสั้น,10006,ช้างสั้น,เครื่องดื่ม,,N,,,,,,,0.00,ชส,,,N,Y,740.00,,
ช้างเวป-(ลัง),10454,ช้างเวป (ลัง),,,N,,,,,,,0.00,8851688770004,,,N,Y,890.00,,
ช้างเวป-แพค,10453,ช้างเวป แพค,,,N,,,,,,,0.00,8851688770004,,,N,Y,90.00,,
ชาวนาเขียว(15m),10210,ชาวนาเขียว(14กก),กระสอบถัง,,N,,,,,,,0.00,ชนข15,,,N,Y,320.00,,
ชาวนาเขียว(5m),10197,ชาวนาเขียว(5M),ยกมัด(5M),,N,,,,,,,0.00,ชนข5,,,N,Y,1150.00,,
ชาวนาเขียว(ใหญ่),10220,ชาวนาเขียว(ใหญ่),,,N,,,,,,,0.00,ชนข40,,,N,Y,960.00,,
ชาวนาเขียว/ขุนเขียว(ปลีก),10722,ชาวนาเขียว/ขุนเขียว(ปลีก),,,N,,,,,,,0.00,,,,N,Y,360.00,,
ชาวนาเขียว15กก,10680,ชาวนาเขียว14กก,,,N,,,,,,,0.00,,,,N,Y,330.00,,
ชาวนาเขียว40กก,10662,ชาวนาเขียว40กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ชาวนาเขียว(ถุง),10553,ชาวนาเขียว5กก(ถุง),,,N,,,,,,,0.00,,,,N,Y,130.00,,
ชาวนาเเดง(ใหญ่),10221,ชาวนาเเดง(ใหญ่),,,N,,,,,,,0.00,ชนด40,,,N,Y,960.00,,
ชาวนาแดง(15m),10211,ชาวนาแดง(15M),กระสอบถัง,,N,,,,,,,0.00,ชนด15,,,N,Y,340.00,,
ชาวนาแดง(5m),10198,ชาวนาแดง(5M),ยกมัด(5M),,N,,,,,,,0.00,ชนด5,,,N,Y,1340.00,,
ชาวนาแดง15กก,10742,ชาวนาแดง14กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ชาวนาแดง40กก,11023,ชาวนาแดง40กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ชีวภาพ,10401,ชีวภาพ,,,N,,,,,,,0.00,,,,N,Y,75.00,,
ชูรส-10,10117,ชูรส 10,เครื่องครัว / ในบ้าน,,N,,,,,,,0.00,ชร10,,,N,Y,175.00,,
ชูรส-98,10120,ชูรส 108,เครื่องครัว / ในบ้าน,,N,,,,,,,0.00,ชร98,,,N,Y,530.00,,
ชูรส-28,10118,ชูรส 32แพค,เครื่องครัว / ในบ้าน,,N,,,,,,,0.00,ชร28,,,N,Y,585.00,,
ชูรส-52,10119,ชูรส 59,เครื่องครัว / ในบ้าน,,N,,,,,,,0.00,ชร52,,,N,Y,540.00,,
ชูรส108(ลัง),10469,ชูรส109(ลัง),,,N,,,,,,,0.00,,,,N,Y,2120.00,,
ชูรส10บ(ลัง),10824,ชูรส10บ(ลัง),,,N,,,,,,,0.00,,,,N,Y,1740.00,,
ชูรส31(ลัง),10462,ชูรส32(ลัง),,,N,,,,,,,0.00,,,,N,Y,2340.00,,
ชูรส57(ลัง),10468,ชูรส59(ลัง),,,N,,,,,,,0.00,,,,N,Y,2150.00,,
ซันไลต์เติม-1,10252,ซันไลต์เติม20บาท,เครื่องครัว / ในบ้าน,,N,,,,,,,0.00,ซลต,,,N,Y,500.00,,
ซากุระ-(100กรัม),10108,ซากุระ (100กรัม),อาหารสัตว์,,N,,,,,,,0.00,8850805000031,,,N,Y,32.00,,
ซากุระ-(20กรัม),10106,ซากุระ (20กรัม),อาหารสัตว์,,N,,,,,,,0.00,ซ20,,,N,Y,12.00,,
ซากุระ-(50กรัม),10107,ซากุระ (50กรัม),อาหารสัตว์,,N,,,,,,,0.00,ซ50,,,N,Y,24.00,,
ซากุระ100(ลัง)50,10660,ซากุระ100(ลัง)50,,,N,,,,,,,0.00,,,,N,Y,1600.00,,
ซากุระ50ก(ลัง)60ห่อ,10661,ซากุระ50ก(ลัง)60ห่อ,,,N,,,,,,,0.00,,,,N,Y,1350.00,,
ซีอิ้วขาว(ญ),10563,ซีอิ้วขาว(ญ),,,N,,,,,,,0.00,,,,N,Y,280.00,,
ซีอิ้วขาว(ล),10564,ซีอิ้วขาว(ล),,,N,,,,,,,0.00,,,,N,Y,155.00,,
ซีเซฟ(ลัง),10431,ซีเซฟ(ลัง),,,N,,,,,,,0.00,,,,N,Y,1575.00,,
ซีเซฟ(แพค),10555,ซีเซฟ(แพค),,,N,,,,,,,0.00,,,,N,Y,160.00,,
ดอกบัว-(15m),10485,ดอกบัว (15m),,,N,,,,,,,0.00,,,,N,Y,560.00,,
